sc.1,sc.2,sc.3,sc.4,connect,efficacy,support,press,stress,depression,dep_risk,gender,race,grade,family
3,4,4,3,14,49,18,34,21,25,High,Male,White,     9,Both
4,2,2,3,11,32,7,16,45,25,High,Female,White,    11,Both
3,2,2,2,9,29,12,21,30,25,High,Female,White,    11,Both
2,1,2,2,7,23,6,8,21,25,High,Male,Other,    10,One
2,2,2,2,8,35,9,21,31,25,High,Female,White,    12,One
1,1,1,1,4,32,15,22,25,25,High,Male,White,    10,One
1,1,1,1,4,23,14,17,30,25,High,Male,Other,     9,Both
3,3,3,2,11,25,7,19,32,25,High,Female,White,     9,One
2,3,2,2,9,37,12,20,38,25,High,Female,White,     9,Both
2,3,3,3,11,34,12,27,39,26,High,Female,Other,    11,One
3,3,3,3,12,34,11,21,31,26,High,Male,Other,    11,Both
2,2,3,1,8,44,12,18,28,26,High,Male,White,    10,Both
3,2,1,1,7,36,11,22,26,26,High,Male,White,     9,One
4,3,3,3,13,39,10,27,37,26,High,Male,White,    11,One
2,2,2,4,10,44,13,31,23,26,High,Female,White,     9,One
2,1,2,2,7,35,10,19,30,26,High,Male,Other,    11,One
4,4,4,4,16,45,19,23,17,26,High,Female,White,    12,One
3,3,3,3,12,41,12,26,48,26,High,Female,White,    10,One
3,2,2,3,10,30,13,22,38,26,High,Female,White,    12,Both
3,2,2,3,10,38,17,23,33,26,High,Female,White,    10,One
3,3,3,2,11,48,10,28,24,26,High,Female,White,     9,One
3,3,2,1,9,20,8,13,48,26,High,Male,Other,     9,One
3,2,3,3,11,39,8,29,26,26,High,Female,White,     9,Both
4,4,4,4,16,46,14,32,30,27,High,Male,White,    11,One
3,3,3,3,12,38,18,27,35,27,High,Female,Other,    12,One
3,2,2,4,11,31,12,22,27,27,High,Male,Other,    11,One
3,2,3,2,10,37,10,24,31,27,High,Female,White,    12,Both
3,2,2,2,9,31,13,15,34,27,High,Female,White,    12,One
1,2,1,3,7,30,4,18,30,27,High,Female,White,    10,One
1,1,1,1,4,18,12,8,22,28,High,Male,Other,     9,One
3,2,3,2,10,34,13,29,42,28,High,Female,White,     9,Both
3,2,2,2,9,31,12,21,25,28,High,Female,Other,    11,Both
3,3,3,3,12,41,12,26,16,28,High,Male,White,    10,Both
1,2,2,1,6,28,7,23,33,28,High,Female,White,    10,One
1,1,1,3,6,33,6,23,23,28,High,Male,White,    10,One
3,3,3,3,12,32,10,22,25,28,High,Male,White,    12,Both
3,4,3,3,13,41,7,28,36,28,High,Male,White,    12,Both
2,2,2,2,8,33,4,8,31,28,High,Female,Other,    12,One
4,4,4,4,16,44,18,36,25,28,High,Female,Other,     9,Both
